date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:56	2196/2196	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:57:33%20GMT	http://gonefish.info/wp-login.php	gonefish.info/wp-login.html	(from http://gonefish.info/2016/03/%e3%80%8a%e6%88%90%e4%b8%ba%e6%8a%80%e6%9c%af%e9%a2%86%e5%af%bc%e8%80%85%e3%80%8b%e8%84%91%e5%9b%be%e7%ac%94%e8%ae%b0/)
21:58:28	21289/21289	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:57:39%20GMT	http://gonefish.info/2015/12/%e4%bd%bf%e7%94%a8launch-screen%e7%9a%84%e5%9d%91/	gonefish.info/2015/12/%e4%bd%bf%e7%94%a8launch-screen%e7%9a%84%e5%9d%91/index.html	(from http://gonefish.info/)
21:58:31	67322/67322	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:57:13%20GMT	http://gonefish.info/category/ios/	gonefish.info/category/ios/index.html	(from http://gonefish.info/)
21:58:32	22044/22044	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:57:35%20GMT	http://gonefish.info/2015/12/os-x%e4%b8%8a%e7%9a%84vim/	gonefish.info/2015/12/os-x%e4%b8%8a%e7%9a%84vim/index.html	(from http://gonefish.info/)
21:58:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202016%2013:58:32%20GMT	http://gonefish.info/author/admin/webkit-fake-url://40ECEEAB-7BD0-4220-8B8E-088E1A09AA8B/2181150064.jpg	gonefish.info/author/admin/webkit-fake-url_/40ECEEAB-7BD0-4220-8B8E-088E1A09AA8B/2181150064.16.delayed	(from http://gonefish.info/author/admin/)
21:58:33	23097/23097	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:57:58%20GMT	http://gonefish.info/2014/11/2011-3-8-2014-10-31/	gonefish.info/2014/11/2011-3-8-2014-10-31/index.html	(from http://gonefish.info/)
21:58:36	24206/24206	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:58:30%20GMT	http://gonefish.info/2014/11/%e4%b8%8a%e6%b5%b7-%e8%a5%bf%e5%ae%89-%e5%8d%8e%e5%b1%b1%e6%b8%b8/	gonefish.info/2014/11/%e4%b8%8a%e6%b5%b7-%e8%a5%bf%e5%ae%89-%e5%8d%8e%e5%b1%b1%e6%b8%b8/index.html	(from http://gonefish.info/)
21:58:37	17984/17984	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202016%2013:58:33%20GMT	http://gonefish.info/author/admin/webkit-fake-url:/40ECEEAB-7BD0-4220-8B8E-088E1A09AA8B/2181150064.jpg	gonefish.info/author/admin/webkit-fake-url_/40ECEEAB-7BD0-4220-8B8E-088E1A09AA8B/2181150064.jpg	(from http://gonefish.info/author/admin/)
21:58:39	30112/30112	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:58:34%20GMT	http://gonefish.info/category/%e6%97%85%e9%80%94%e4%b8%ad/	gonefish.info/category/%e6%97%85%e9%80%94%e4%b8%ad/index.html	(from http://gonefish.info/)
21:58:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202016%2013:58:40%20GMT	http://gonefish.info/category/%e6%80%9d%e5%bf%b5%e7%9a%84%e4%b8%9c%e8%a5%bf/webkit-fake-url://40ECEEAB-7BD0-4220-8B8E-088E1A09AA8B/2181150064.jpg	gonefish.info/category/%e6%80%9d%e5%bf%b5%e7%9a%84%e4%b8%9c%e8%a5%bf/webkit-fake-url_/40ECEEAB-7BD0-4220-8B8E-088E1A09AA8B/2181150064.18.delayed	(from http://gonefish.info/category/%e6%80%9d%e5%bf%b5%e7%9a%84%e4%b8%9c%e8%a5%bf/)
21:58:43	21653/21653	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:58:38%20GMT	http://gonefish.info/2014/05/alone/	gonefish.info/2014/05/alone/index.html	(from http://gonefish.info/)
21:58:44	48213/48213	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:58:33%20GMT	http://gonefish.info/category/qqzone/	gonefish.info/category/qqzone/index.html	(from http://gonefish.info/)
21:58:49	17984/17984	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202016%2013:58:44%20GMT	http://gonefish.info/blog/wp-content/uploads/2014/01/psb.jpeg	gonefish.info/blog/wp-content/uploads/2014/01/psb.1a.delayed	(from http://gonefish.info/category/%e6%80%9d%e5%bf%b5%e7%9a%84%e4%b8%9c%e8%a5%bf/)
21:59:00	45351/45351	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:58:41%20GMT	http://gonefish.info/category/php/	gonefish.info/category/php/index.html	(from http://gonefish.info/)
21:59:01	42719/42719	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:58:41%20GMT	http://gonefish.info/category/django/	gonefish.info/category/django/index.html	(from http://gonefish.info/)
